feature_name,computation_formula,window_start,window_end,includes_future_t_plus_h,is_suspect,suspect_reason
panamax_pchg_14,(panamax(t) - panamax(t - 14)) / panamax(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
panamax_chg_30,panamax(t) - panamax(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
panamax_pchg_30,(panamax(t) - panamax(t - 30)) / panamax(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
supramax_chg_1,supramax(t) - supramax(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
supramax_pchg_1,(supramax(t) - supramax(t - 1)) / supramax(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
supramax_chg_7,supramax(t) - supramax(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
supramax_pchg_7,(supramax(t) - supramax(t - 7)) / supramax(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
supramax_chg_14,supramax(t) - supramax(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
supramax_pchg_14,(supramax(t) - supramax(t - 14)) / supramax(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
supramax_chg_30,supramax(t) - supramax(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
supramax_pchg_30,(supramax(t) - supramax(t - 30)) / supramax(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
handy_chg_1,handy(t) - handy(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
handy_pchg_1,(handy(t) - handy(t - 1)) / handy(t - 1),t - 1,t,False,True,Uses same-day close at t (window_end = t)
handy_chg_7,handy(t) - handy(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
handy_pchg_7,(handy(t) - handy(t - 7)) / handy(t - 7),t - 7,t,False,True,Uses same-day close at t (window_end = t)
handy_chg_14,handy(t) - handy(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
handy_pchg_14,(handy(t) - handy(t - 14)) / handy(t - 14),t - 14,t,False,True,Uses same-day close at t (window_end = t)
handy_chg_30,handy(t) - handy(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
handy_pchg_30,(handy(t) - handy(t - 30)) / handy(t - 30),t - 30,t,False,True,Uses same-day close at t (window_end = t)
mkt_usd_inr_lag_1,mkt_usd_inr(t - 1),t - 1,t - 1,False,False,
mkt_usd_inr_lag_7,mkt_usd_inr(t - 7),t - 7,t - 7,False,False,
mkt_usd_inr_lag_14,mkt_usd_inr(t - 14),t - 14,t - 14,False,False,
mkt_usd_inr_lag_30,mkt_usd_inr(t - 30),t - 30,t - 30,False,False,
mkt_brent_usd_per_barrel_lag_1,mkt_brent_usd_per_barrel(t - 1),t - 1,t - 1,False,False,
mkt_brent_usd_per_barrel_lag_7,mkt_brent_usd_per_barrel(t - 7),t - 7,t - 7,False,False,
mkt_brent_usd_per_barrel_lag_14,mkt_brent_usd_per_barrel(t - 14),t - 14,t - 14,False,False,
mkt_brent_usd_per_barrel_lag_30,mkt_brent_usd_per_barrel(t - 30),t - 30,t - 30,False,False,
mkt_wti_usd_per_barrel_lag_1,mkt_wti_usd_per_barrel(t - 1),t - 1,t - 1,False,False,
mkt_wti_usd_per_barrel_lag_7,mkt_wti_usd_per_barrel(t - 7),t - 7,t - 7,False,False,
mkt_wti_usd_per_barrel_lag_14,mkt_wti_usd_per_barrel(t - 14),t - 14,t - 14,False,False,
mkt_wti_usd_per_barrel_lag_30,mkt_wti_usd_per_barrel(t - 30),t - 30,t - 30,False,False,
mkt_n10d_lag_1,mkt_n10d(t - 1),t - 1,t - 1,False,False,
mkt_n10d_lag_7,mkt_n10d(t - 7),t - 7,t - 7,False,False,
