column,category,dtype,null_count,null_pct
mkt_coal_south_african_lag_14,lag_feature,float64,14,0.54
mkt_coal_south_african_lag_30,lag_feature,float64,30,1.16
mkt_copper_lag_1,lag_feature,float64,1,0.04
mkt_copper_lag_7,lag_feature,float64,7,0.27
mkt_copper_lag_14,lag_feature,float64,14,0.54
mkt_copper_lag_30,lag_feature,float64,30,1.16
mkt_aluminum_lag_1,lag_feature,float64,1,0.04
mkt_aluminum_lag_7,lag_feature,float64,7,0.27
mkt_aluminum_lag_14,lag_feature,float64,14,0.54
mkt_aluminum_lag_30,lag_feature,float64,30,1.16
mkt_usd_inr_rmean_7,rolling_feature,float64,0,0.0
mkt_usd_inr_rstd_7,rolling_feature,float64,1,0.04
mkt_usd_inr_rmean_14,rolling_feature,float64,0,0.0
mkt_usd_inr_rstd_14,rolling_feature,float64,1,0.04
mkt_usd_inr_rmean_30,rolling_feature,float64,0,0.0
mkt_usd_inr_rstd_30,rolling_feature,float64,1,0.04
mkt_brent_usd_per_barrel_rmean_7,rolling_feature,float64,0,0.0
mkt_brent_usd_per_barrel_rstd_7,rolling_feature,float64,1,0.04
mkt_brent_usd_per_barrel_rmean_14,rolling_feature,float64,0,0.0
mkt_brent_usd_per_barrel_rstd_14,rolling_feature,float64,1,0.04
mkt_brent_usd_per_barrel_rmean_30,rolling_feature,float64,0,0.0
mkt_brent_usd_per_barrel_rstd_30,rolling_feature,float64,1,0.04
mkt_wti_usd_per_barrel_rmean_7,rolling_feature,float64,0,0.0
mkt_wti_usd_per_barrel_rstd_7,rolling_feature,float64,1,0.04
mkt_wti_usd_per_barrel_rmean_14,rolling_feature,float64,0,0.0
mkt_wti_usd_per_barrel_rstd_14,rolling_feature,float64,1,0.04
mkt_wti_usd_per_barrel_rmean_30,rolling_feature,float64,0,0.0
mkt_wti_usd_per_barrel_rstd_30,rolling_feature,float64,1,0.04
mkt_n10d_rmean_7,rolling_feature,float64,0,0.0
mkt_n10d_rstd_7,rolling_feature,float64,1,0.04
mkt_n10d_rmean_14,rolling_feature,float64,0,0.0
mkt_n10d_rstd_14,rolling_feature,float64,1,0.04
mkt_n10d_rmean_30,rolling_feature,float64,0,0.0
mkt_n10d_rstd_30,rolling_feature,float64,1,0.04
mkt_gprd_rmean_7,rolling_feature,float64,0,0.0
mkt_gprd_rstd_7,rolling_feature,float64,1,0.04
mkt_gprd_rmean_14,rolling_feature,float64,0,0.0
mkt_gprd_rstd_14,rolling_feature,float64,1,0.04
mkt_gprd_rmean_30,rolling_feature,float64,0,0.0
mkt_gprd_rstd_30,rolling_feature,float64,1,0.04
mkt_iron_ore_cfr_spot_rmean_7,rolling_feature,float64,0,0.0
mkt_iron_ore_cfr_spot_rstd_7,rolling_feature,float64,1,0.04
mkt_iron_ore_cfr_spot_rmean_14,rolling_feature,float64,0,0.0
mkt_iron_ore_cfr_spot_rstd_14,rolling_feature,float64,1,0.04
mkt_iron_ore_cfr_spot_rmean_30,rolling_feature,float64,0,0.0
mkt_iron_ore_cfr_spot_rstd_30,rolling_feature,float64,1,0.04
mkt_coal_australian_rmean_7,rolling_feature,float64,0,0.0
mkt_coal_australian_rstd_7,rolling_feature,float64,1,0.04
mkt_coal_australian_rmean_14,rolling_feature,float64,0,0.0
mkt_coal_australian_rstd_14,rolling_feature,float64,1,0.04
mkt_coal_australian_rmean_30,rolling_feature,float64,0,0.0
mkt_coal_australian_rstd_30,rolling_feature,float64,1,0.04
mkt_coal_south_african_rmean_7,rolling_feature,float64,0,0.0
mkt_coal_south_african_rstd_7,rolling_feature,float64,1,0.04
mkt_coal_south_african_rmean_14,rolling_feature,float64,0,0.0
mkt_coal_south_african_rstd_14,rolling_feature,float64,1,0.04
mkt_coal_south_african_rmean_30,rolling_feature,float64,0,0.0
mkt_coal_south_african_rstd_30,rolling_feature,float64,1,0.04
mkt_copper_rmean_7,rolling_feature,float64,0,0.0
mkt_copper_rstd_7,rolling_feature,float64,1,0.04
mkt_copper_rmean_14,rolling_feature,float64,0,0.0
mkt_copper_rstd_14,rolling_feature,float64,1,0.04
mkt_copper_rmean_30,rolling_feature,float64,0,0.0
mkt_copper_rstd_30,rolling_feature,float64,1,0.04
mkt_aluminum_rmean_7,rolling_feature,float64,0,0.0
mkt_aluminum_rstd_7,rolling_feature,float64,1,0.04
mkt_aluminum_rmean_14,rolling_feature,float64,0,0.0
mkt_aluminum_rstd_14,rolling_feature,float64,1,0.04
mkt_aluminum_rmean_30,rolling_feature,float64,0,0.0
mkt_aluminum_rstd_30,rolling_feature,float64,1,0.04
mkt_usd_inr_chg_1,momentum_feature,float64,189,7.32
mkt_usd_inr_pchg_1,momentum_feature,float64,189,7.32
mkt_usd_inr_chg_7,momentum_feature,float64,196,7.59
mkt_usd_inr_pchg_7,momentum_feature,float64,196,7.59
mkt_usd_inr_chg_14,momentum_feature,float64,201,7.79
mkt_usd_inr_pchg_14,momentum_feature,float64,201,7.79
mkt_brent_usd_per_barrel_chg_1,momentum_feature,float64,80,3.1
mkt_brent_usd_per_barrel_pchg_1,momentum_feature,float64,80,3.1
mkt_brent_usd_per_barrel_chg_7,momentum_feature,float64,93,3.6
mkt_brent_usd_per_barrel_pchg_7,momentum_feature,float64,93,3.6
mkt_brent_usd_per_barrel_chg_14,momentum_feature,float64,99,3.84
mkt_brent_usd_per_barrel_pchg_14,momentum_feature,float64,99,3.84
mkt_wti_usd_per_barrel_chg_1,momentum_feature,float64,183,7.09
mkt_wti_usd_per_barrel_pchg_1,momentum_feature,float64,183,7.09
mkt_wti_usd_per_barrel_chg_7,momentum_feature,float64,193,7.48
mkt_wti_usd_per_barrel_pchg_7,momentum_feature,float64,193,7.48
mkt_wti_usd_per_barrel_chg_14,momentum_feature,float64,200,7.75
mkt_wti_usd_per_barrel_pchg_14,momentum_feature,float64,200,7.75
mkt_n10d_chg_1,momentum_feature,float64,4,0.15
mkt_n10d_pchg_1,momentum_feature,float64,4,0.15
mkt_n10d_chg_7,momentum_feature,float64,10,0.39
mkt_n10d_pchg_7,momentum_feature,float64,10,0.39
mkt_n10d_chg_14,momentum_feature,float64,17,0.66
mkt_n10d_pchg_14,momentum_feature,float64,17,0.66
mkt_gprd_chg_1,momentum_feature,float64,4,0.15
mkt_gprd_pchg_1,momentum_feature,float64,4,0.15
mkt_gprd_chg_7,momentum_feature,float64,10,0.39
mkt_gprd_pchg_7,momentum_feature,float64,10,0.39
mkt_gprd_chg_14,momentum_feature,float64,17,0.66
mkt_gprd_pchg_14,momentum_feature,float64,17,0.66
mkt_iron_ore_cfr_spot_chg_1,momentum_feature,float64,1,0.04
mkt_iron_ore_cfr_spot_pchg_1,momentum_feature,float64,1,0.04
mkt_iron_ore_cfr_spot_chg_7,momentum_feature,float64,7,0.27
mkt_iron_ore_cfr_spot_pchg_7,momentum_feature,float64,7,0.27
