target,horizon,model,mean_sMAPE,std_sMAPE,best_sMAPE,worst_sMAPE,mean_R2,std_R2,mean_direction,std_direction,mean_vs_persistence_improvement,stability_class
kdci,30d,Persistence,22.16,3.7,17.5,26.41,-0.1098,0.3031,N/A,0.0,0.0,REGIME_DEPENDENT
kdci,30d,Ridge,15.15,6.44,7.9,24.94,-0.4352,2.0504,78.8%,14.14,7.02,REGIME_DEPENDENT
kdci,30d,Ridge_Residual_Hybrid,14.55,6.22,7.89,24.85,-0.3963,2.0779,82.1%,11.24,7.61,REGIME_DEPENDENT
kdci,30d,Validation_Weighted_Ensemble,12.8,5.55,7.46,23.05,0.648,0.2195,88.7%,17.2,9.36,REGIME_DEPENDENT
kdci,30d,XGBoost,12.77,2.94,8.04,17.27,0.6102,0.1419,99.7%,0.52,9.39,REGIME_DEPENDENT
kdci,7d,Naive_Mean_Change,10.09,1.16,8.4,11.17,0.7382,0.0708,50.7%,5.67,-0.0,UNDERFIT / OVERFIT_RISK
kdci,7d,Neural_Net,11.02,3.8,6.43,17.23,-6.381,14.273,70.4%,10.28,-0.93,REGIME_DEPENDENT
kdci,7d,Persistence,10.09,1.17,8.37,11.11,0.739,0.0699,N/A,0.0,0.0,REGIME_DEPENDENT
kdci,7d,Ridge,6.35,1.71,4.29,8.43,0.3187,1.1403,86.4%,6.31,3.74,ROBUST
kdci,7d,Ridge_Residual_Hybrid,6.08,1.55,4.17,8.44,0.3299,1.1417,89.5%,4.24,4.01,ROBUST
kdci,7d,Validation_Weighted_Ensemble,5.19,0.92,3.93,6.47,0.9198,0.0236,97.9%,1.58,4.9,ROBUST
kdci,7d,XGBoost,5.54,0.55,4.81,6.35,0.9111,0.0253,99.8%,0.32,4.54,ROBUST
panamax,14d,Naive_Mean_Change,13.61,1.57,11.49,15.4,0.4731,0.129,48.2%,9.17,-0.04,UNDERFIT / OVERFIT_RISK
panamax,14d,Neural_Net,19.65,14.99,9.79,49.07,-47.2705,94.0174,69.4%,12.54,-6.09,REGIME_DEPENDENT
panamax,14d,Persistence,13.57,1.56,11.34,15.33,0.4751,0.1327,N/A,0.0,0.0,REGIME_DEPENDENT
panamax,14d,Ridge,8.86,2.52,6.25,13.22,-0.4859,2.4982,83.7%,9.99,4.71,ROBUST
panamax,14d,Ridge_Residual_Hybrid,8.67,2.42,6.51,12.93,-0.477,2.5231,89.6%,10.35,4.9,ROBUST
panamax,14d,Validation_Weighted_Ensemble,7.83,2.38,4.88,11.81,0.8176,0.0952,92.7%,8.76,5.74,ROBUST
panamax,14d,XGBoost,8.31,1.52,6.42,10.26,0.7853,0.0732,99.6%,0.51,5.26,ROBUST
panamax,1d,Naive_Mean_Change,1.75,0.11,1.54,1.84,0.9889,0.0018,45.0%,7.17,-0.01,UNDERFIT / OVERFIT_RISK
panamax,1d,Neural_Net,2.64,1.02,1.55,4.03,-1.1432,4.253,67.0%,10.72,-0.9,UNDERFIT / OVERFIT_RISK
panamax,1d,Persistence,1.74,0.11,1.53,1.85,0.9889,0.0018,N/A,0.0,0.0,REGIME_DEPENDENT
